91.0,63.0,52.0,0.0,0.0,52.0,0.0,0.0,-1.0,2.1,-1.7,-22.0,0.0,2.9,5.1,2.9
81.0,53.0,48.0,0.0,16.0,52.0,0.0,0.0,0.0,1.5,-1.6,-25.5,0.0,2.0,2.6,2.1
138.0,75.0,40.0,76.0,100.0,28.0,60.0,0.0,-2.8,2.5,-2.5,-28.5,6.5,-2.4,2.2,3.4
100.0,71.0,72.0,0.0,0.0,44.0,0.0,0.0,-0.7,1.9,-1.7,-35.6,0.0,2.9,3.3,2.6
88.0,74.0,48.0,0.0,0.0,52.0,0.0,0.0,-1.4,2.3,-1.5,-17.8,0.0,2.1,4.9,3.9
100.0,84.0,36.0,0.0,24.0,60.0,0.0,24.0,-6.4,1.7,-2.9,-39.0,0.0,3.4,5.9,2.2
77.0,70.0,44.0,0.0,12.0,56.0,0.0,0.0,0.0,1.0,-0.9,-14.7,0.0,4.5,1.9,1.0
78.0,67.0,44.0,0.0,8.0,48.0,0.0,0.0,-1.1,1.0,-0.8,-17.9,0.0,2.5,1.4,0.5
84.0,64.0,40.0,0.0,12.0,48.0,0.0,0.0,0.0,1.0,-1.9,-20.4,0.0,2.6,6.5,2.1
89.0,63.0,44.0,32.0,68.0,44.0,0.0,0.0,-2.0,1.3,-1.2,-24.1,1.9,3.9,1.3,0.9
102.0,70.0,36.0,0.0,12.0,56.0,0.0,24.0,-1.9,0.4,-1.0,-15.5,0.0,-2.7,-3.1,0.9
77.0,72.0,40.0,0.0,12.0,48.0,0.0,0.0,-1.7,1.6,-1.8,-23.1,0.0,-0.9,0.3,1.5
78.0,73.0,72.0,28.0,72.0,32.0,0.0,0.0,0.0,0.7,-0.6,-14.6,1.3,0.6,1.1,0.5
91.0,56.0,92.0,0.0,28.0,24.0,0.0,0.0,0.0,1.1,-1.4,-31.0,0.0,1.3,5.4,2.1
77.0,72.0,80.0,0.0,20.0,36.0,0.0,0.0,0.0,2.3,-2.0,-59.2,0.0,3.4,1.9,1.7
75.0,76.0,48.0,0.0,12.0,44.0,0.0,0.0,0.0,1.7,-1.8,-24.8,0.0,4.1,3.1,1.7
82.0,67.0,48.0,20.0,72.0,48.0,20.0,0.0,0.0,0.7,-1.6,-26.3,1.8,0.8,4.7,2.3
70.0,70.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.6,-14.1,0.0,0.6,0.9,0.7
91.0,66.0,44.0,0.0,0.0,64.0,0.0,0.0,-0.8,1.0,-0.4,-13.3,0.0,6.1,3.0,0.5
82.0,66.0,56.0,0.0,64.0,24.0,0.0,0.0,-0.6,1.7,-1.7,-33.3,0.0,1.6,3.6,1.8
83.0,76.0,36.0,0.0,16.0,48.0,0.0,0.0,-0.9,3.0,-2.9,-40.0,0.0,2.6,4.0,3.3
90.0,66.0,36.0,0.0,20.0,36.0,24.0,0.0,-1.4,0.3,-1.1,-18.6,0.0,3.5,2.9,1.1
